City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Coahuayana,MX,79.47,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
9,San Quintin,MX,75.16,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
13,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
15,Samarai,PG,78.73,overcast clouds,-10.6167,150.6667,Nuli Sapi
16,Kulhudhuffushi,MV,81.45,clear sky,6.6221,73.07,Haajy Guest House 1
19,Palmer,US,76.24,scattered clouds,42.1584,-72.3287,Wedgewood Motel
22,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
24,Isla Vista,US,81.79,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
31,Isangel,VU,77.05,clear sky,-19.55,169.2667,Tanna Lodge
32,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
36,Tay Ninh,VN,75.85,light rain,11.3,106.1,Thanh Tuyền Hotel
40,Shelburne,CA,77.76,broken clouds,44.0787,-80.2041,The Retreat at the Farm
42,Ciudad Bolivar,VE,83.52,overcast clouds,8.1222,-63.5497,Hotel Edi
43,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Central
45,Jacqueville,CI,75.99,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
46,Salalah,OM,78.31,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
48,Razole,IN,76.03,light rain,16.4833,81.8333,Sterling Palavelli Godavari
53,Jamestown,US,76.59,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Atuona,PF,76.26,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
59,Monoharpur,IN,79.03,clear sky,22.1083,88.0789,Vidyasagar PTTTI
69,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Namatanai,PG,80.02,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
75,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
79,Kieta,PG,77.16,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
85,Guerrero Negro,MX,80.51,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
90,Kavieng,PG,81.52,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
92,Noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
93,Bombay,IN,76.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
94,Hilo,US,84.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Bethel,US,79.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
101,Tamandare,BR,75.85,clear sky,-8.7597,-35.1047,Pousada 100 Passos
102,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
103,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
104,Savannah Bight,HN,83.39,broken clouds,16.45,-85.85,Villa on Dunbar Rock
105,Puri,IN,79.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
109,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
110,Kupang,ID,77.2,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
112,Makakilo City,US,83.68,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
119,Ixtapa,MX,82.31,overcast clouds,20.7,-105.2,hotel la terminal
120,Kutum,SD,79.16,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
122,Hithadhoo,MV,81.36,scattered clouds,-0.6,73.0833,Scoop Guest House
127,Sinnamary,GF,81.19,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
128,Rock Sound,BS,83.68,clear sky,24.9,-76.2,Pink Corral Bay Property
129,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
136,Faanui,PF,78.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
145,Lompoc,US,78.94,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
147,Monkey Bay,MW,77.25,clear sky,-14.0728,34.9201,Mufasa Eco Lodge
153,Bac Lieu,VN,78.62,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
154,Hobyo,SO,76.69,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
156,Marsh Harbour,BS,84.22,clear sky,26.5412,-77.0636,Abaco Beach Resort
