City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,2022-09-21 20:53:48,-21.3585,55.7679,67.59,79,40,11.3,scattered clouds
1,Kyzyl-Suu,KG,2022-09-21 20:54:43,42.3414,78.0056,58.23,57,100,2.91,overcast clouds
2,Khatanga,RU,2022-09-21 20:54:43,71.9667,102.5,22.28,78,68,17.07,broken clouds
3,Vao,NC,2022-09-21 20:54:44,-22.6667,167.4833,71.85,75,100,12.57,overcast clouds
4,Carnarvon,AU,2022-09-21 20:54:44,-24.8667,113.6333,62.98,77,0,19.86,clear sky
5,Rikitea,PF,2022-09-21 20:53:13,-23.1203,-134.9692,72.9,75,4,14.63,light rain
6,Aykhal,RU,2022-09-21 20:54:45,66.0,111.5,10.99,94,94,4.41,overcast clouds
7,Punta Arenas,CL,2022-09-21 20:54:28,-53.15,-70.9167,57.31,38,0,14.97,clear sky
8,Coahuayana,MX,2022-09-21 20:54:45,18.7333,-103.6833,79.47,88,100,2.53,overcast clouds
9,San Quintin,MX,2022-09-21 20:54:46,30.4833,-115.95,75.16,66,11,16.75,few clouds
10,Durango,MX,2022-09-21 20:51:01,24.8333,-104.8333,75.38,46,21,10.58,few clouds
11,Hobart,AU,2022-09-21 20:53:58,-42.8794,147.3294,52.05,91,0,3.0,clear sky
12,Ushuaia,AR,2022-09-21 20:51:35,-54.8,-68.3,47.86,57,40,11.5,scattered clouds
13,Manta,EC,2022-09-21 20:50:19,-0.95,-80.7333,78.58,73,40,10.36,scattered clouds
14,Thompson,CA,2022-09-21 20:51:38,55.7435,-97.8558,48.36,57,75,8.05,broken clouds
15,Samarai,PG,2022-09-21 20:54:47,-10.6167,150.6667,78.73,85,100,10.42,overcast clouds
16,Kulhudhuffushi,MV,2022-09-21 20:54:48,6.6221,73.07,81.45,75,9,9.93,clear sky
17,Barrow,US,2022-09-21 20:54:48,71.2906,-156.7887,37.42,93,100,8.05,mist
18,Port Elizabeth,ZA,2022-09-21 20:54:49,-33.918,25.5701,61.09,92,0,6.91,clear sky
19,Palmer,US,2022-09-21 20:54:49,42.1584,-72.3287,76.24,65,40,9.22,scattered clouds
20,Talnakh,RU,2022-09-21 20:54:50,69.4865,88.3972,36.21,96,100,16.31,light rain
21,Souillac,MU,2022-09-21 20:54:50,-20.5167,57.5167,71.98,83,75,10.36,broken clouds
22,Najran,SA,2022-09-21 20:54:51,17.4924,44.1277,83.05,26,97,4.34,overcast clouds
23,Vallenar,CL,2022-09-21 20:54:51,-28.5708,-70.7581,73.56,15,0,7.83,clear sky
24,Isla Vista,US,2022-09-21 20:54:52,34.4133,-119.861,81.79,68,0,7.0,clear sky
25,Mataura,NZ,2022-09-21 20:53:58,-46.1927,168.8643,48.47,86,24,1.41,few clouds
26,Busselton,AU,2022-09-21 20:54:52,-33.65,115.3333,45.81,71,29,7.61,scattered clouds
27,Camacha,PT,2022-09-21 20:54:53,33.0833,-16.3333,71.02,78,20,6.91,few clouds
28,Beringovskiy,RU,2022-09-21 20:54:53,63.05,179.3167,42.96,90,93,6.49,overcast clouds
29,Port Alfred,ZA,2022-09-21 20:54:53,-33.5906,26.891,58.17,90,82,1.01,broken clouds
30,Torbay,CA,2022-09-21 20:54:54,47.6666,-52.7314,56.28,80,75,13.8,broken clouds
31,Isangel,VU,2022-09-21 20:54:54,-19.55,169.2667,77.05,78,9,5.14,clear sky
32,San Cristobal,VE,2022-09-21 20:54:55,7.7669,-72.225,78.98,74,81,1.5,broken clouds
33,Tezu,IN,2022-09-21 20:54:55,27.9167,96.1667,73.85,98,100,2.86,overcast clouds
34,Mackenzie,CA,2022-09-21 20:51:49,55.2999,-123.1698,61.02,41,0,8.05,clear sky
35,Bani Walid,LY,2022-09-21 20:54:56,31.7566,13.9942,74.08,78,6,11.83,clear sky
36,Tay Ninh,VN,2022-09-21 20:52:21,11.3,106.1,75.85,95,100,0.58,light rain
37,Raudeberg,NO,2022-09-21 20:54:56,61.9875,5.1352,56.86,64,100,17.9,overcast clouds
38,Zhigansk,RU,2022-09-21 20:54:57,66.7697,123.3711,29.16,93,100,18.34,light snow
39,Yining,CN,2022-09-21 20:54:57,29.0361,114.5636,66.29,72,100,2.91,overcast clouds
40,Shelburne,CA,2022-09-21 20:54:58,44.0787,-80.2041,77.76,62,79,16.73,broken clouds
41,Tran,BG,2022-09-21 20:54:58,42.8353,22.6517,39.51,94,20,4.14,few clouds
42,Ciudad Bolivar,VE,2022-09-21 20:54:59,8.1222,-63.5497,83.52,69,100,2.62,overcast clouds
43,Victoria,HK,2022-09-21 20:51:47,22.2855,114.1577,83.32,76,99,8.99,overcast clouds
44,Airai,TL,2022-09-21 20:54:59,-8.9266,125.4092,60.21,85,94,2.59,overcast clouds
45,Jacqueville,CI,2022-09-21 20:55:00,5.2052,-4.4146,75.99,90,36,5.99,scattered clouds
46,Salalah,OM,2022-09-21 20:55:00,17.0151,54.0924,78.31,85,75,4.83,broken clouds
47,Yerbogachen,RU,2022-09-21 20:55:00,61.2767,108.0108,28.63,93,100,3.0,overcast clouds
48,Razole,IN,2022-09-21 20:55:01,16.4833,81.8333,76.03,94,100,4.03,light rain
49,Novyy Urengoy,RU,2022-09-21 20:55:01,66.0833,76.6333,42.22,76,74,12.75,broken clouds
50,Rocha,UY,2022-09-21 20:55:02,-34.4833,-54.3333,50.67,73,17,6.73,few clouds
51,Bluff,NZ,2022-09-21 20:53:46,-46.6,168.3333,48.79,81,18,6.08,few clouds
52,Kirovsk,UA,2022-09-21 20:55:03,48.6375,38.6428,52.59,54,15,5.17,few clouds
53,Jamestown,US,2022-09-21 20:54:01,42.097,-79.2353,76.59,83,75,11.5,light rain
54,Bagan,RU,2022-09-21 20:55:05,54.1001,77.6646,64.08,56,61,4.88,broken clouds
55,Provideniya,RU,2022-09-21 20:55:05,64.3833,-173.3,42.91,100,100,18.01,light rain
56,Bredasdorp,ZA,2022-09-21 20:55:06,-34.5322,20.0403,51.64,88,6,3.09,clear sky
57,Winslow,US,2022-09-21 20:55:06,35.0242,-110.6974,71.78,73,75,9.22,broken clouds
58,Atuona,PF,2022-09-21 20:54:36,-9.8,-139.0333,76.26,81,74,21.23,light rain
59,Monoharpur,IN,2022-09-21 20:55:07,22.1083,88.0789,79.03,90,5,6.22,clear sky
60,Issoudun,FR,2022-09-21 20:55:07,47.0,1.8333,55.09,62,0,8.05,clear sky
61,Hasaki,JP,2022-09-21 20:54:30,35.7333,140.8333,63.28,63,100,18.54,overcast clouds
62,Lasa,IT,2022-09-21 20:54:29,46.6166,10.7002,48.36,85,8,1.07,clear sky
63,Coquimbo,CL,2022-09-21 20:53:16,-29.9533,-71.3436,64.13,51,0,18.41,clear sky
64,Dikson,RU,2022-09-21 20:54:26,73.5069,80.5464,29.53,78,100,30.82,overcast clouds
65,Baruun-Urt,MN,2022-09-21 20:55:09,46.6806,113.2792,35.64,63,100,14.92,overcast clouds
66,Castro,BR,2022-09-21 20:53:50,-24.7911,-50.0119,58.17,99,100,4.47,overcast clouds
67,Mehamn,NO,2022-09-21 20:55:10,71.0357,27.8492,48.15,93,100,16.11,mist
68,Gariaband,IN,2022-09-21 20:55:10,20.635,82.0614,71.98,97,72,4.05,broken clouds
69,Puerto Ayora,EC,2022-09-21 20:55:11,-0.7393,-90.3518,76.96,89,73,13.0,broken clouds
70,Namatanai,PG,2022-09-21 20:55:12,-3.6667,152.4333,80.02,73,100,1.68,overcast clouds
71,Port Macquarie,AU,2022-09-21 20:51:54,-31.4333,152.9167,62.49,88,100,13.8,moderate rain
72,Ribnica,SI,2022-09-21 20:55:12,45.7386,14.7275,45.54,85,3,1.39,clear sky
73,Qaanaaq,GL,2022-09-21 20:54:28,77.484,-69.3632,29.41,75,100,5.68,overcast clouds
74,New Norfolk,AU,2022-09-21 20:55:13,-42.7826,147.0587,51.71,77,20,2.37,few clouds
75,Kapaa,US,2022-09-21 20:54:18,22.0752,-159.319,84.18,73,81,8.01,broken clouds
76,Vaini,TO,2022-09-21 20:55:14,-21.2,-175.2,77.16,88,75,12.66,broken clouds
77,Nevsehir,TR,2022-09-21 20:55:14,38.9167,34.6667,56.41,82,75,11.5,broken clouds
78,Sukhobezvodnoye,RU,2022-09-21 20:55:15,57.0491,44.8891,49.55,88,100,5.79,light rain
79,Kieta,PG,2022-09-21 20:55:15,-6.2167,155.6333,77.16,80,100,3.42,overcast clouds
80,Norman Wells,CA,2022-09-21 20:55:16,65.282,-126.8329,51.84,76,75,4.61,broken clouds
81,Kachug,RU,2022-09-21 20:55:16,53.9606,105.8817,32.5,83,68,2.93,broken clouds
82,Cabo San Lucas,MX,2022-09-21 20:55:17,22.8909,-109.9124,86.18,73,12,8.32,few clouds
83,Smithers,CA,2022-09-21 20:55:18,54.7804,-127.1743,62.92,45,20,4.61,few clouds
84,Longyearbyen,SJ,2022-09-21 20:54:21,78.2186,15.6401,33.64,75,40,25.32,scattered clouds
85,Guerrero Negro,MX,2022-09-21 20:55:18,27.9769,-114.0611,80.51,56,17,13.04,few clouds
86,Jennings,US,2022-09-21 20:55:19,38.7192,-90.2604,97.38,48,19,1.99,few clouds
87,Chunskiy,RU,2022-09-21 20:55:20,56.0815,99.6342,33.67,76,87,4.05,overcast clouds
88,Cherskiy,RU,2022-09-21 20:54:23,68.75,161.3,38.37,58,83,5.82,broken clouds
89,Dunedin,NZ,2022-09-21 20:55:20,-45.8742,170.5036,52.81,77,10,0.83,clear sky
90,Kavieng,PG,2022-09-21 20:55:21,-2.5744,150.7967,81.52,71,99,2.35,overcast clouds
91,Rena,NO,2022-09-21 20:55:22,61.1348,11.3641,40.98,86,45,0.92,scattered clouds
92,Noumea,NC,2022-09-21 20:54:32,-22.2763,166.4572,75.99,99,97,8.34,overcast clouds
