City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,42.6001,-73.9662,65.44,95,93,1.66
1,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,84,20,5.75
2,Minas,UY,-34.3759,-55.2377,51.46,95,84,6.58
3,Barrow,US,71.2906,-156.7887,41.02,87,100,9.22
4,Wake Forest,US,35.9799,-78.5097,68.25,92,0,0.0
5,Tuktoyaktuk,CA,69.4541,-133.0374,43.2,78,77,5.32
6,Hilo,US,19.7297,-155.09,78.28,96,75,3.44
7,Honiara,SB,-9.4333,159.95,81.27,83,100,7.67
8,Yellowknife,CA,62.456,-114.3525,48.72,87,75,4.61
9,Mopipi,BW,-21.1833,24.8833,73.51,23,0,7.81
10,Qaanaaq,GL,77.484,-69.3632,21.58,52,57,8.99
11,Laguna,US,38.421,-121.4238,65.08,81,75,14.97
12,Port Elizabeth,ZA,-33.918,25.5701,57.49,93,40,14.97
13,Port Blair,IN,11.6667,92.75,87.84,70,40,16.11
14,Souillac,MU,-20.5167,57.5167,75.58,69,75,17.27
15,Jamestown,US,42.097,-79.2353,70.72,62,20,9.22
16,Dentsville,US,34.064,-80.9582,68.05,91,30,2.98
17,Goure,NE,13.9835,10.2704,77.02,69,81,9.08
18,Ocampo,MX,21.65,-101.5,57.72,84,94,14.5
19,Busselton,AU,-33.65,115.3333,57.63,63,75,20.09
20,Ushuaia,AR,-54.8,-68.3,33.46,80,0,2.3
21,Atuona,PF,-9.8,-139.0333,77.13,71,14,21.77
22,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,5.75
23,Kavaratti,IN,10.5669,72.642,80.69,79,95,12.21
24,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,71,40,11.18
25,Avarua,CK,-21.2078,-159.775,73.45,88,40,2.3
26,Nikolskoye,RU,59.7035,30.7861,51.78,83,99,8.23
27,Rawson,AR,-43.3002,-65.1023,43.18,78,100,18.1
28,Port Hawkesbury,CA,45.6169,-61.3485,53.58,93,0,0.0
29,Carnarvon,AU,-24.8667,113.6333,66.29,50,50,28.66
30,Shaunavon,CA,49.6501,-108.4181,60.58,43,96,12.48
31,Lebu,CL,-37.6167,-73.65,41.59,83,1,4.88
32,Khatanga,RU,71.9667,102.5,36.1,49,46,13.51
33,Chokurdakh,RU,70.6333,147.9167,43.25,47,82,13.49
34,Bluff,NZ,-46.6,168.3333,52.36,81,78,1.36
35,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,4.18
36,Feijo,BR,-8.1642,-70.3536,75.72,68,78,2.53
37,Mandalgovi,MN,45.7625,106.2708,50.94,24,0,3.24
38,Sovetskaya Gavan,RU,48.9723,140.2878,65.73,47,27,10.38
39,Hamilton,US,39.1834,-84.5333,72.81,77,75,6.91
40,Cape Town,ZA,-33.9258,18.4232,58.1,66,40,3.44
41,New Norfolk,AU,-42.7826,147.0587,57.92,62,70,3.0
42,Palencia,ES,42.4167,-4.5,56.79,53,43,6.24
43,Kapaa,US,22.0752,-159.319,79.12,81,100,11.5
44,Cidreira,BR,-30.1811,-50.2056,61.25,79,100,17.16
45,Vaini,TO,-21.2,-175.2,73.56,83,40,9.22
46,Mekhe,SN,15.1097,-16.6218,80.06,74,96,6.49
47,Pechenga,RU,69.5259,31.1703,46.26,98,100,18.01
48,Saint-Philippe,RE,-21.3585,55.7679,72.99,77,53,13.85
49,Sharjah,AE,25.3573,55.4033,97.09,38,0,14.97
50,Bambous Virieux,MU,-20.3428,57.7575,76.21,69,75,17.27
51,Sinnamary,GF,5.3833,-52.95,78.15,88,99,8.46
52,Hirara,JP,24.8,125.2833,84.47,70,75,14.97
53,Bilma,NE,18.6853,12.9164,87.06,41,32,6.53
54,Rikitea,PF,-23.1203,-134.9692,72.21,79,26,18.99
55,Lavrentiya,RU,65.5833,-171.0,38.34,84,100,8.75
56,Cairns,AU,-16.9167,145.7667,91.06,67,100,10.36
57,Estrela,BR,-28.0611,-50.9383,53.42,88,89,7.63
58,Chuy,UY,-33.6971,-53.4616,57.27,92,100,7.43
59,Isangel,VU,-19.55,169.2667,82.51,69,20,9.22
60,Ancud,CL,-41.8697,-73.8203,42.22,89,68,4.54
61,Castro,BR,-24.7911,-50.0119,48.49,94,42,7.54
62,San Patricio,US,28.017,-97.5169,86.85,76,0,7.87
63,Pangai,TO,-19.8,-174.35,77.11,73,40,17.27
64,Saskylakh,RU,71.9167,114.0833,35.4,79,100,10.25
65,Kashirskoye,RU,51.4194,39.6125,52.97,63,69,20.85
66,Fortuna,US,40.5982,-124.1573,58.66,89,99,4.74
67,Maragogi,BR,-9.0122,-35.2225,71.51,81,4,4.23
68,Brae,GB,60.3964,-1.353,47.37,67,55,8.1
69,Bredasdorp,ZA,-34.5322,20.0403,52.3,75,94,2.64
70,Fukue,JP,32.6881,128.8419,82.76,74,75,19.57
71,Minsk Mazowiecki,PL,52.1794,21.5725,48.42,89,93,12.17
72,San Jose,US,37.3394,-121.895,63.72,90,75,10.36
73,Adrar,MR,20.5022,-10.0711,81.52,32,23,9.08
74,Iracoubo,GF,5.4802,-53.2011,77.67,89,99,8.08
75,Armizonskoye,RU,55.9461,67.6736,65.21,45,96,7.38
76,Yulara,AU,-25.2406,130.9889,92.75,10,17,15.1
